"location","duration","EffectSize","pvalue","att_estimator","ScaledL2Imbalance","power"
"market_021, market_024",14,0,0.429,1.62845820460442,0.854881927882476,0
"market_023, market_024",14,0,0.364,-4.18236782840605,0.604794034620171,0
"market_001, market_017",14,0.05,0,40.1028238068901,0.628032879950209,1
"market_002, market_007",14,0.05,0.004,22.9856111033708,0.87062563696781,1
"market_003, market_012",14,0.05,0,27.6535690797187,0.889417735591425,1
"market_004, market_024",14,0.05,0,31.030442819502,0.887552374015619,1
"market_005, market_024",14,0.05,0,34.0952696490498,0.713655675307531,1
"market_006, market_023",14,0.05,0,24.2555914427059,0.862770113309206,1
"market_007, market_011",14,0.05,0,23.9156360958599,0.938015718255742,1
"market_007, market_024",14,0.05,0,37.6626174881428,0.705055068418675,1
"market_008, market_024",14,0.05,0,33.6166862844029,0.735631060900326,1
"market_009, market_024",14,0.05,0.003,23.258589212834,0.849429433855722,1
"market_010, market_023",14,0.05,0,46.9630226803307,0.724028303738123,1
"market_012, market_017",14,0.05,0,44.2120347253975,0.630694822440194,1
"market_013, market_023",14,0.05,0,25.1273495128736,0.93704758042979,1
"market_014, market_023",14,0.05,0,31.1286283343157,0.91461899874683,1
"market_015, market_017",14,0.05,0,29.9477131555042,0.745155799758608,1
"market_016, market_024",14,0.05,0.001,25.9414630111995,0.849520408230055,1
"market_017, market_019",14,0.05,0,27.8431932879825,0.665269905661065,1
"market_017, market_022",14,0.05,0,40.8085416562796,0.711495547591412,1
"market_017, market_024",14,0.05,0,44.4218875531552,0.626220194734299,1
"market_018, market_023",14,0.05,0.002,23.297583203502,0.860571439227558,1
"market_020, market_023",14,0.05,0.003,19.1697457656774,0.96923148259381,1
"market_021, market_024",14,0.05,0,27.1427439188902,0.854881927882476,1
"market_023, market_024",14,0.05,0,40.5729893144511,0.604794034620171,1
"market_001, market_017",14,0.1,0,79.5956809497473,0.628032879950209,1
"market_002, market_007",14,0.1,0,43.1570396747994,0.87062563696781,1
"market_003, market_012",14,0.1,0,53.4196405082902,0.889417735591425,1
"market_004, market_024",14,0.1,0,56.0518713909306,0.887552374015619,1
"market_005, market_024",14,0.1,0,65.4613410776213,0.713655675307531,1
"market_006, market_023",14,0.1,0,57.4395200141345,0.862770113309206,1
"market_007, market_011",14,0.1,0,44.2388503815742,0.938015718255742,1
"market_007, market_024",14,0.1,0,71.2519032024286,0.705055068418675,1
"market_008, market_024",14,0.1,0,62.1399005701173,0.735631060900326,1
"market_009, market_024",14,0.1,0,49.7103749271197,0.849429433855722,1
"market_010, market_023",14,0.1,0,94.5058798231878,0.724028303738123,1
"market_012, market_017",14,0.1,0,86.9870347253975,0.630694822440194,1
"market_013, market_023",14,0.1,0,53.3416352271593,0.93704758042979,1
"market_014, market_023",14,0.1,0,62.7464854771728,0.91461899874683,1
"market_015, market_017",14,0.1,0,61.4709274412185,0.745155799758608,1
"market_016, market_024",14,0.1,0,53.1432487254853,0.849520408230055,1
"market_017, market_019",14,0.1,0,63.4860504308398,0.665269905661065,1
"market_017, market_022",14,0.1,0,84.5638987991368,0.711495547591412,1
"market_017, market_024",14,0.1,0,88.8522446960123,0.626220194734299,1
"market_018, market_023",14,0.1,0,56.2957974892163,0.860571439227558,1
"market_020, market_023",14,0.1,0,48.2679600513916,0.96923148259381,1
"market_021, market_024",14,0.1,0,52.6570296331759,0.854881927882476,1
"market_023, market_024",14,0.1,0,85.3283464573083,0.604794034620171,1
